numero_questao,gabarito,NU_PARAM_A,nu_param_B,NU_PARAM_C,ANO,enunciado,alternativas,gabarito_texto,distratores,enunciado_limpo,alternativas_limpo,gabarito_texto_limpo,distratores_limpo
1,C,3.43894,0.97831,0.10855,2017,"No império africano do Mali, no século XIV, Tombuctu foi centro de um comércio internacional onde tudo era negociado — sal, escravos, marﬁm etc. Havia também um grande comércio de livros de história, medicina, astronomia e matemática, além de grande concentração de estudantes. A importância cultural de Tombuctu pode ser percebida por meio de um velho provérbio: “O sal vem do norte, o ouro vem do sul, mas as palavras de Deus e os tesouros da sabedoria vêm de Tombuctu”.Uma explicação para o dinamismo dessa cidade e sua importância histórica no período mencionado era o(a)",A:  isolamento geográﬁco do Saara ocidental; B:  exploração intensiva de recursos naturais; C:  posição relativa nas redes de circulação; D:  tráﬁco transatlântico de mão de obra servil; E:  competição econômica dos reinos da região,posição relativa nas redes de circulação,isolamento geográﬁco do Saara ocidental; exploração intensiva de recursos naturais; tráﬁco transatlântico de mão de obra servil; competição econômica dos reinos da região,africano além astronomia centro cidade comércio concentração cultural dessa deus dinamismo escravos estudantes etc explicação grande havia história histórica importância império internacional livros mali matemática medicina meio mencionado negociado norte onde ouro palavras percebida período pode provérbio sabedoria sal sul século tesouros tombuctu tudo velho vem vêm xiv,A: isolamento ocidental saara; B: exploração intensiva naturais recursos; C: circulação posição redes relativa; D: mão obra servil transatlântico; E: competição econômica região reinos,circulação posição redes relativa,competição econômica exploração intensiva isolamento mão naturais obra ocidental recursos região reinos saara servil transatlântico
2,D,3.00837,0.49169,0.13877,2017,"Após a Declaração Universal dos Direitos Humanos pela ONU, em 1948, a Unesco publicou estudos de cientistas de todo o mundo que desqualiﬁcaram as doutrinas racistas e demonstraram a unidade do gênero humano. Desde então, a maioria dos próprios cientistas europeus passou a reconhecer o caráter discriminatório da pretensa superioridade racial do homem branco e a condenar as aberrações cometidas em seu nome.A posição assumida pela Unesco, a partir de 1948, foi motivada por acontecimentos então recentes, dentre os quais se destacava o(a)",A:  ataque feito pelos japoneses à base militar americana de Pearl Harbor.; B:  desencadeamento da Guerra Fria e de novas rivalidades entre nações; C:  morte de milhões de soldados nos combates da Segunda Guerra Mundial.; D:  execução de judeus e eslavos presos em guetos e campos de concentração nazistas; E:  lançamento de bombas atômicas em Hiroshima e Nagasaki pelas forças norte-americanas,execução de judeus e eslavos presos em guetos e campos de concentração nazistas,ataque feito pelos japoneses à base militar americana de Pearl Harbor.; desencadeamento da Guerra Fria e de novas rivalidades entre nações; morte de milhões de soldados nos combates da Segunda Guerra Mundial.; lançamento de bombas atômicas em Hiroshima e Nagasaki pelas forças norte-americanas,aberrações acontecimentos após assumida branco caráter cientistas cometidas condenar declaração demonstraram dentre desde destacava direitos discriminatório doutrinas então estudos europeus gênero homem humano humanos maioria motivada mundo nome onu partir passou posição pretensa próprios publicou quais racial racistas recentes reconhecer superioridade todo unesco unidade universal,A: americana ataque base feito harbor japoneses militar pearl; B: desencadeamento fria guerra nações novas rivalidades; C: combates guerra milhões morte mundial segunda soldados; D: campos concentração eslavos execução guetos judeus nazistas presos; E: americanas atômicas bombas forças hiroshima lançamento nagasaki norte,campos concentração eslavos execução guetos judeus nazistas presos,americana americanas ataque atômicas base bombas combates desencadeamento feito forças fria guerra harbor hiroshima japoneses lançamento milhões militar morte mundial nagasaki nações norte novas pearl rivalidades segunda soldados
3,D,0.60432,3.25992,0.08798,2017,"A moralidade, Bentham exortava, não é uma questão de agradar a Deus, muito menos de ﬁdelidade a regras abstratas. A moralidade é a tentativa de criar a maior quantidade de felicidade possível neste mundo.  Ao decidir o que fazer, deveríamos, portanto, perguntar qual curso de conduta promoveria a maior quantidade de felicidade para todos aqueles que serão afetados.Os parâmetros da ação indicados no texto estão em conformidade com uma",A:  fundamentação cientíﬁca de viés positivista; B:  convenção social de orientação normativa; C:  transgressão comportamental religiosa; D:  racionalidade de caráter pragmático; E:  inclinação de natureza passional,racionalidade de caráter pragmático,fundamentação cientíﬁca de viés positivista; convenção social de orientação normativa; transgressão comportamental religiosa; inclinação de natureza passional,abstratas afetados agradar ação bentham conduta conformidade criar curso decidir deus deveríamos exortava fazer felicidade indicados maior menos moralidade mundo neste parâmetros perguntar portanto possível promoveria quantidade questão regras tentativa texto todos,A: fundamentação positivista viés; B: convenção normativa orientação social; C: comportamental religiosa transgressão; D: caráter pragmático racionalidade; E: inclinação natureza passional,caráter pragmático racionalidade,comportamental convenção fundamentação inclinação natureza normativa orientação passional positivista religiosa social transgressão viés
4,E,1.85031,0.57925,0.11344,2017,"Fala-se muito nos dias de hoje em direitos do homem. Pois bem: foi no século XVIII — em 1789, precisamente — que uma Assembleia Constituinte produziu e proclamou em Paris a Declaração dos Direitos do Homem e do Cidadão. Essa Declaração se impôs como necessária para um grupo de revolucionários, por ter sido preparada por uma mudança no plano das ideias e das mentalidades: o Iluminismo.Correlacionando temporalidades históricas, o texto apresenta uma concepção de pensamento que tem como uma de suas bases a",A: modernização da educação escolar; B: atualização da disciplina moral cristã; C: divulgação de costumes aristocráticos.; D: socialização do conhecimento cientíﬁco; E: universalização do princípio da igualdade civil,universalização do princípio da igualdade civil,modernização da educação escolar; atualização da disciplina moral cristã; divulgação de costumes aristocráticos.; socialização do conhecimento cientíﬁco,apresenta assembleia bases bem cidadão concepção constituinte correlacionando declaração dias direitos fala grupo históricas hoje homem ideias iluminismo impôs mentalidades mudança necessária paris pensamento plano pois precisamente preparada proclamou produziu revolucionários sido século temporalidades ter texto xviii,A: educação escolar modernização; B: atualização cristã disciplina moral; C: aristocráticos costumes divulgação; D: conhecimento socialização; E: civil igualdade princípio universalização,civil igualdade princípio universalização,aristocráticos atualização conhecimento costumes cristã disciplina divulgação educação escolar modernização moral socialização
5,C,2.4629,0.76307,0.17672,2017,"Na Constituição da República Federativa do Brasil, de 1988, consta:Artigo  231. São reconhecidos aos índios sua organização social, costumes, línguas, crenças e tradições, e os direitos originários sobre as terras que tradicionalmente ocupam, competindo à União demarcá-las, proteger e fazer respeitar todos os seus bens.A persistência das reivindicações relativas à aplicação desse preceito normativo tem em vista a vinculação histórica fundamental entre",A:  etnia e miscigenação racial; B:  sociedade e igualdade jurídica; C:  espaço e sobrevivência cultural; D:  progresso e educação ambiental; E:  bem-estar e modernização econômica,espaço e sobrevivência cultural,etnia e miscigenação racial; sociedade e igualdade jurídica; progresso e educação ambiental; bem-estar e modernização econômica,aplicação artigo bens brasil competindo consta constituição costumes crenças demarcá desse direitos fazer federativa fundamental histórica las línguas normativo ocupam organização originários persistência preceito proteger reconhecidos reivindicações relativas república respeitar sobre social terras todos tradicionalmente tradições união vinculação vista índios,A: etnia miscigenação racial; B: igualdade jurídica sociedade; C: cultural espaço sobrevivência; D: ambiental educação progresso; E: bem econômica modernização,cultural espaço sobrevivência,ambiental bem econômica educação etnia igualdade jurídica miscigenação modernização progresso racial sociedade
6,A,2.04543,0.74139,0.20814,2017,"Descrição da fotografia: É retratada uma mulher negra sentada, elegantemente vestida, adornada com joias e usando um xale, tendo encostado ao seu lado direito um menino branco, em pé, com a cabeça e a mão esquerda delicadamente apoiadas no seu ombro e a mão direita segurando seu braço; ambos estão posando para uma foto. A legenda informa: “Fotograﬁa de Augusto Gomes Leal e da ama de leite Mônica, cartão de visita de 1860”.A fotograﬁa, datada de 1860, é um indício da cultura escravista no Brasil, ao expressar a","A: ambiguidade do trabalho doméstico exercido pela  ama de leite, desenvolvendo uma relação de  proximidade e subordinação em relação aos senhores; B: integração dos escravos aos valores das classes médias, cultivando a família como pilar da sociedade imperial; C: melhoria das condições de vida dos escravos observada pela roupa luxuosa, associando o trabalho doméstico a privilégios para os cativos; D: esfera da vida privada, centralizando a ﬁgura feminina para aﬁrmar o trabalho da mulher na educação letrada dos infantes; E: distinção étnica entre senhores e escravos, demarcando a convivência entre estratos sociais como meio para superar a mestiçagem","ambiguidade do trabalho doméstico exercido pela  ama de leite, desenvolvendo uma relação de  proximidade e subordinação em relação aos senhores","integração dos escravos aos valores das classes médias, cultivando a família como pilar da sociedade imperial; melhoria das condições de vida dos escravos observada pela roupa luxuosa, associando o trabalho doméstico a privilégios para os cativos; esfera da vida privada, centralizando a ﬁgura feminina para aﬁrmar o trabalho da mulher na educação letrada dos infantes; distinção étnica entre senhores e escravos, demarcando a convivência entre estratos sociais como meio para superar a mestiçagem",adornada ama ambos apoiadas augusto branco brasil braço cabeça cartão cultura datada delicadamente descrição direita direito elegantemente encostado escravista esquerda expressar foto fotografia gomes indício informa joias lado leal legenda leite menino mulher mão mônica negra ombro posando pé retratada segurando sentada tendo usando vestida visita xale,A: ama ambiguidade desenvolvendo doméstico exercido leite proximidade relação senhores subordinação trabalho; B: classes cultivando escravos família imperial integração médias pilar sociedade valores; C: associando cativos condições doméstico escravos luxuosa melhoria observada privilégios roupa trabalho vida; D: centralizando educação esfera feminina infantes letrada mulher privada trabalho vida; E: convivência demarcando distinção escravos estratos meio mestiçagem senhores sociais superar étnica,ama ambiguidade desenvolvendo doméstico exercido leite proximidade relação senhores subordinação trabalho,associando cativos centralizando classes condições convivência cultivando demarcando distinção doméstico educação escravos esfera estratos família feminina imperial infantes integração letrada luxuosa meio melhoria mestiçagem mulher médias observada pilar privada privilégios roupa senhores sociais sociedade superar trabalho valores vida étnica
7,D,4.02261,0.96775,0.17554,2017,"A conﬁguração do espaço urbano da região do Entorno do Distrito Federal assemelha-se às demais aglomerações urbanas e regiões metropolitanas do país, onde é facilmente identiﬁcável a constituição de um centro dinâmico e desenvolvido, onde se concentram as oportunidades de trabalho e os principais serviços, e a constituição de uma região periférica concentradora de população de baixa renda, com acesso restrito às principais atividades com capacidade de acumulação e produtividade, e aos serviços sociais e infraestrutura básica.A organização interna do aglomerado urbano descrito é resultado da ocorrência do processo de",A:  expansão vertical; B:  polarização nacional.; C:  emancipação municipal; D:  segregação socioespacial; E:  desregulamentação comercial,segregação socioespacial,expansão vertical; polarização nacional.; emancipação municipal; desregulamentação comercial,acesso acumulação aglomerado aglomerações assemelha atividades baixa básica capacidade centro concentradora concentram constituição demais descrito desenvolvido dinâmico distrito entorno espaço facilmente federal infraestrutura interna metropolitanas ocorrência onde oportunidades organização país periférica população principais processo produtividade região regiões renda restrito resultado serviços sociais trabalho urbanas urbano,A: expansão vertical; B: nacional polarização; C: emancipação municipal; D: segregação socioespacial; E: comercial desregulamentação,segregação socioespacial,comercial desregulamentação emancipação expansão municipal nacional polarização vertical
8,B,1.33884,2.80117,0.16665,2017,"México, Colômbia, Peru e Chile decidiram seguir um caminho mais curto para a integração regional. Os quatro países, em meados de 2012, criaram a Aliança do Pacífico e eliminaram, em 2013, as tarifas aduaneiras de 90 por cento  do total de produtos comercializados entre suas fronteiras.O acordo descrito no texto teve como objetivo econômico para os países-membros",A: promover a livre circulação de trabalhadores; B: fomentar a competitividade no mercado externo; C: restringir investimentos de empresas multinacionais; D: adotar medidas cambiais para subsidiar o setor agrícola; E: reduzir a ﬁscalização alfandegária para incentivar o consumo,fomentar a competitividade no mercado externo,promover a livre circulação de trabalhadores; restringir investimentos de empresas multinacionais; adotar medidas cambiais para subsidiar o setor agrícola; reduzir a ﬁscalização alfandegária para incentivar o consumo,acordo aduaneiras aliança caminho cento chile colômbia comercializados criaram curto decidiram descrito econômico eliminaram fronteiras integração meados membros méxico objetivo pacífico países peru produtos quatro regional seguir tarifas texto total,A: circulação livre promover trabalhadores; B: competitividade externo fomentar mercado; C: empresas investimentos multinacionais restringir; D: adotar agrícola cambiais medidas setor subsidiar; E: alfandegária consumo incentivar reduzir,competitividade externo fomentar mercado,adotar agrícola alfandegária cambiais circulação consumo empresas incentivar investimentos livre medidas multinacionais promover reduzir restringir setor subsidiar trabalhadores
9,E,3.15884,0.92459,0.095,2017,"Descrição da tabela: Indica a tipologia de áreas em relação ao percentual de chuva retida no local e ao percentual de chuva escoada, apresentando os seguintes dados:• Bacias naturais/florestas: com 80 a 100 por cento de chuva retida no local e 0 a 20 por cento de chuva escoada;• Bacias com ocupação agrícola/cultivos: com  40 a 60 por cento de chuva retida no local e  40 a 60 por cento de chuva escoada;• Bacias com ocupação residencial: com  40 a 50 por cento de chuva retida no local e 50 a 60 por cento de chuva escoada;• Bacias com ocupação urbana pesada: com  0 a 10 por cento de chuva retida no local e 90 a 100 por cento de chuva escoada.A leitura dos dados revela que as áreas com maior cobertura vegetal têm o potencial de intensiﬁcar o processo de",A:  erosão laminar; B:  intemperismo físico; C:  enchente nas cidades; D:  compactação do solo; E:  recarga dos aquíferos,recarga dos aquíferos,erosão laminar; intemperismo físico; enchente nas cidades; compactação do solo,agrícola apresentando bacias cento chuva cobertura cultivos dados descrição escoada florestas indica leitura local maior naturais ocupação percentual pesada potencial processo relação residencial retida revela seguintes tabela tipologia têm urbana vegetal áreas,A: erosão laminar; B: físico intemperismo; C: cidades enchente; D: compactação solo; E: aquíferos recarga,aquíferos recarga,cidades compactação enchente erosão físico intemperismo laminar solo
10,A,0.67598,0.5519,0.00798,2017,"O desgaste acelerado sempre existirá se o agricultor não tiver o devido cuidado de combater as causas, relacionadas a vários processos, tais como: empobrecimento químico e lixiviação provocados pelo esgotamento causado pelas colheitas e pela lavagem vertical de nutrientes da água que se inﬁltra no solo, bem como pela retirada de elementos nutritivos com as colheitas. Os nutrientes retirados, quando não repostos, são comumente substituídos por elementos tóxicos, como, por exemplo, o alumínio.A dinâmica ambiental exempliﬁcada no texto gera a seguinte consequência para o solo agricultável:",A:  Elevação da acidez; B:  Ampliação da salinidade; C:  Formação de voçorocas; D:  Remoção da camada superior; E:  Intensiﬁcação do escoamento superﬁcial,Elevação da acidez,Ampliação da salinidade; Formação de voçorocas; Remoção da camada superior; Intensiﬁcação do escoamento superﬁcial,acelerado agricultor agricultável alumínio ambiental bem causado causas colheitas combater comumente consequência cuidado desgaste devido dinâmica elementos empobrecimento esgotamento exemplo existirá gera lavagem lixiviação nutrientes nutritivos processos provocados químico relacionadas repostos retirada retirados seguinte sempre solo substituídos tais texto tóxicos vertical vários água,A: acidez elevação; B: ampliação salinidade; C: formação voçorocas; D: camada remoção superior; E: escoamento,acidez elevação,ampliação camada escoamento formação remoção salinidade superior voçorocas
