numero_questao,gabarito,NU_PARAM_A,nu_param_B,NU_PARAM_C,ANO,enunciado,alternativas
1,C,3.43894,0.97831,0.10855,2017,"No império africano do Mali, no século XIV, Tombuctu foi centro de um comércio internacional onde tudo era negociado — sal, escravos, marﬁm etc. Havia também um grande comércio de livros de história, medicina, astronomia e matemática, além de grande concentração de estudantes. A importância cultural de Tombuctu pode ser percebida por meio de um velho provérbio: “O sal vem do norte, o ouro vem do sul, mas as palavras de Deus e os tesouros da sabedoria vêm de Tombuctu”.Uma explicação para o dinamismo dessa cidade e sua importância histórica no período mencionado era o(a)",A:  isolamento geográﬁco do Saara ocidental; B:  exploração intensiva de recursos naturais; C:  posição relativa nas redes de circulação; D:  tráﬁco transatlântico de mão de obra servil; E:  competição econômica dos reinos da região
2,D,3.00837,0.49169,0.13877,2017,"Após a Declaração Universal dos Direitos Humanos pela ONU, em 1948, a Unesco publicou estudos de cientistas de todo o mundo que desqualiﬁcaram as doutrinas racistas e demonstraram a unidade do gênero humano. Desde então, a maioria dos próprios cientistas europeus passou a reconhecer o caráter discriminatório da pretensa superioridade racial do homem branco e a condenar as aberrações cometidas em seu nome.A posição assumida pela Unesco, a partir de 1948, foi motivada por acontecimentos então recentes, dentre os quais se destacava o(a)",A:  ataque feito pelos japoneses à base militar americana de Pearl Harbor.; B:  desencadeamento da Guerra Fria e de novas rivalidades entre nações; C:  morte de milhões de soldados nos combates da Segunda Guerra Mundial.; D:  execução de judeus e eslavos presos em guetos e campos de concentração nazistas; E:  lançamento de bombas atômicas em Hiroshima e Nagasaki pelas forças norte-americanas
3,D,0.60432,3.25992,0.08798,2017,"A moralidade, Bentham exortava, não é uma questão de agradar a Deus, muito menos de ﬁdelidade a regras abstratas. A moralidade é a tentativa de criar a maior quantidade de felicidade possível neste mundo.  Ao decidir o que fazer, deveríamos, portanto, perguntar qual curso de conduta promoveria a maior quantidade de felicidade para todos aqueles que serão afetados.Os parâmetros da ação indicados no texto estão em conformidade com uma",A:  fundamentação cientíﬁca de viés positivista; B:  convenção social de orientação normativa; C:  transgressão comportamental religiosa; D:  racionalidade de caráter pragmático; E:  inclinação de natureza passional
4,E,1.85031,0.57925,0.11344,2017,"Fala-se muito nos dias de hoje em direitos do homem. Pois bem: foi no século XVIII — em 1789, precisamente — que uma Assembleia Constituinte produziu e proclamou em Paris a Declaração dos Direitos do Homem e do Cidadão. Essa Declaração se impôs como necessária para um grupo de revolucionários, por ter sido preparada por uma mudança no plano das ideias e das mentalidades: o Iluminismo.Correlacionando temporalidades históricas, o texto apresenta uma concepção de pensamento que tem como uma de suas bases a",A: modernização da educação escolar; B: atualização da disciplina moral cristã; C: divulgação de costumes aristocráticos.; D: socialização do conhecimento cientíﬁco; E: universalização do princípio da igualdade civil
5,C,2.4629,0.76307,0.17672,2017,"Na Constituição da República Federativa do Brasil, de 1988, consta:Artigo  231. São reconhecidos aos índios sua organização social, costumes, línguas, crenças e tradições, e os direitos originários sobre as terras que tradicionalmente ocupam, competindo à União demarcá-las, proteger e fazer respeitar todos os seus bens.A persistência das reivindicações relativas à aplicação desse preceito normativo tem em vista a vinculação histórica fundamental entre",A:  etnia e miscigenação racial; B:  sociedade e igualdade jurídica; C:  espaço e sobrevivência cultural; D:  progresso e educação ambiental; E:  bem-estar e modernização econômica
6,A,2.04543,0.74139,0.20814,2017,"Descrição da fotografia: É retratada uma mulher negra sentada, elegantemente vestida, adornada com joias e usando um xale, tendo encostado ao seu lado direito um menino branco, em pé, com a cabeça e a mão esquerda delicadamente apoiadas no seu ombro e a mão direita segurando seu braço; ambos estão posando para uma foto. A legenda informa: “Fotograﬁa de Augusto Gomes Leal e da ama de leite Mônica, cartão de visita de 1860”.A fotograﬁa, datada de 1860, é um indício da cultura escravista no Brasil, ao expressar a","A: ambiguidade do trabalho doméstico exercido pela  ama de leite, desenvolvendo uma relação de  proximidade e subordinação em relação aos senhores; B: integração dos escravos aos valores das classes médias, cultivando a família como pilar da sociedade imperial; C: melhoria das condições de vida dos escravos observada pela roupa luxuosa, associando o trabalho doméstico a privilégios para os cativos; D: esfera da vida privada, centralizando a ﬁgura feminina para aﬁrmar o trabalho da mulher na educação letrada dos infantes; E: distinção étnica entre senhores e escravos, demarcando a convivência entre estratos sociais como meio para superar a mestiçagem"
7,D,4.02261,0.96775,0.17554,2017,"A conﬁguração do espaço urbano da região do Entorno do Distrito Federal assemelha-se às demais aglomerações urbanas e regiões metropolitanas do país, onde é facilmente identiﬁcável a constituição de um centro dinâmico e desenvolvido, onde se concentram as oportunidades de trabalho e os principais serviços, e a constituição de uma região periférica concentradora de população de baixa renda, com acesso restrito às principais atividades com capacidade de acumulação e produtividade, e aos serviços sociais e infraestrutura básica.A organização interna do aglomerado urbano descrito é resultado da ocorrência do processo de",A:  expansão vertical; B:  polarização nacional.; C:  emancipação municipal; D:  segregação socioespacial; E:  desregulamentação comercial
8,B,1.33884,2.80117,0.16665,2017,"México, Colômbia, Peru e Chile decidiram seguir um caminho mais curto para a integração regional. Os quatro países, em meados de 2012, criaram a Aliança do Pacífico e eliminaram, em 2013, as tarifas aduaneiras de 90 por cento  do total de produtos comercializados entre suas fronteiras.O acordo descrito no texto teve como objetivo econômico para os países-membros",A: promover a livre circulação de trabalhadores; B: fomentar a competitividade no mercado externo; C: restringir investimentos de empresas multinacionais; D: adotar medidas cambiais para subsidiar o setor agrícola; E: reduzir a ﬁscalização alfandegária para incentivar o consumo
9,E,3.15884,0.92459,0.095,2017,"Descrição da tabela: Indica a tipologia de áreas em relação ao percentual de chuva retida no local e ao percentual de chuva escoada, apresentando os seguintes dados:• Bacias naturais/florestas: com 80 a 100 por cento de chuva retida no local e 0 a 20 por cento de chuva escoada;• Bacias com ocupação agrícola/cultivos: com  40 a 60 por cento de chuva retida no local e  40 a 60 por cento de chuva escoada;• Bacias com ocupação residencial: com  40 a 50 por cento de chuva retida no local e 50 a 60 por cento de chuva escoada;• Bacias com ocupação urbana pesada: com  0 a 10 por cento de chuva retida no local e 90 a 100 por cento de chuva escoada.A leitura dos dados revela que as áreas com maior cobertura vegetal têm o potencial de intensiﬁcar o processo de",A:  erosão laminar; B:  intemperismo físico; C:  enchente nas cidades; D:  compactação do solo; E:  recarga dos aquíferos
10,A,0.67598,0.5519,0.00798,2017,"O desgaste acelerado sempre existirá se o agricultor não tiver o devido cuidado de combater as causas, relacionadas a vários processos, tais como: empobrecimento químico e lixiviação provocados pelo esgotamento causado pelas colheitas e pela lavagem vertical de nutrientes da água que se inﬁltra no solo, bem como pela retirada de elementos nutritivos com as colheitas. Os nutrientes retirados, quando não repostos, são comumente substituídos por elementos tóxicos, como, por exemplo, o alumínio.A dinâmica ambiental exempliﬁcada no texto gera a seguinte consequência para o solo agricultável:",A:  Elevação da acidez; B:  Ampliação da salinidade; C:  Formação de voçorocas; D:  Remoção da camada superior; E:  Intensiﬁcação do escoamento superﬁcial
11,B,1.42185,0.7908,0.03124,2017," Os maiores consumidores da infraestrutura logística para exportação no Brasil são os produtos a granel, dentre os quais se destacam o minério de ferro, petróleo e seus derivados e a soja, que, por possuírem baixo valor agregado, e por serem movimentados em grandes volumes, necessitam de uma infraestrutura de grande porte e baixos custos. No caso da soja, a infraestrutura deixa muito a desejar, resultando em enormes ﬁlas de navios, caminhões e trens, que, por ﬁcarem grande parte do tempo ociosos nas ﬁlas, têm seu custo majorado, onerando fortemente o exportador, afetando sua margem de lucro e ameaçando nossa competitividade internacional.No contexto do início do século XXI, uma ação para solucionar os problemas logísticos da soja apresentados no texto seria a",A: isenção de impostos de transportes; B: construção de terminais atracadouros; C: diversiﬁcação dos parceiros comerciais; D: contratação de trabalhadores portuários; E: intensiﬁcação do policiamento das rodovias
12,D,2.19559,1.6262,0.15363,2017,"A diversidade de atividades relacionadas ao setor terciário reforça a tendência mais geral de desindustrialização de muitos dos países desenvolvidos sem que estes, contudo, percam o comando da economia. Essa mudança implica nova divisão internacional do trabalho, que não é mais apoiada na clara segmentação setorial das atividades econômicas.Nesse contexto, o fenômeno descrito tem como um de seus resultados a",A: saturação do setor secundário; B:  ampliação dos direitos laborais; C:  bipolarização do poder geopolítico; D:  consolidação do domínio tecnológico; E:  primarização das exportações globais
13,B,3.76399,0.57236,0.22484,2017,"Muitos países se caracterizam por terem populações multiétnicas. Com frequência, evoluíram desse modo ao longo de séculos. Outras sociedades se tornaram multiétnicas mais rapidamente, como resultado de políticas incentivando a migração, ou por conta de legados coloniais e imperiais. Do ponto de vista do funcionamento das democracias contemporâneas, o modelo de sociedade descrito demanda, simultaneamente,",A: defesa do patriotismo e rejeição ao hibridismo; B: universalização de direitos e respeito à diversidade; C: segregação do território e estímulo ao autogoverno; D: políticas de compensação e homogeneização do idioma.; E: padronização da cultura e repressão aos particularismos
