numero_questao,enunciado,alternativas,nu_param_B,gabarito
46,"Seu turno de trabalho acabou, você já está em casa e é hora do jantar da família.
Mas, em vez de relaxar, você começa a pensar na possibilidade de ter recebido alguma
mensagem importante no e-mail profissional ou no grupo de WhatsApp da empresa.
Imediatamente, você fica distante. Momentos depois, com alguns toques na tela do
celular, você está de volta ao ambiente de trabalho. O jantar e a família ficaram em
segundo plano.
A simples vontade de checar mensagens do trabalho pós-expediente prejudica sua 
saúde — e a de sua família. Disponível em: www.bbc.com. Acesso em: 4 dez. 2018.
O texto indica práticas nas relações cotidianas do trabalho que causam para o indivíduo a",A: proteção da vida privada.; B: ampliação de atividades extras.; C: elevação de etapas burocráticas.; D: diversificação do lazer recreativo.; E: desobrigação de afazeres domésticos.,0.59033,B
47,"Quando a taxa de remuneração do capital excede substancialmente a taxa de
crescimento da economia, pela lógica, a riqueza herdada aumenta mais rápido do que a
renda e a produção. Então, basta aos herdeiros poupar uma parte limitada da renda de
seu capital para que ele cresça mais rápido do que a economia como um todo. Sob essas
condições, é quase inevitável que a riqueza herdada supere a riqueza constituída durante
uma vida de trabalho, e que a concentração do capital atinja níveis muito altos.
PIKETTY, T. O capital no século XXI. Rio de Janeiro: Intrínseca, 2014 (adaptado).
Considerando os princípios que legitimam as democracias liberais, a lógica econômica
descrita no texto enfraquece o(a)",A: ideologia do mérito.; B: direito de nascimento.; C: eficácia da legislação.; D: ganho das financeiras.; E: eficiência dos mercados.,1.33796,A
48,"Atualmente, o Programa de Melhoramento ""Uvas do Brasil"" utiliza métodos clássicos
de melhoramento, como seleção massal, seleção clonal e hibridações. Ações de ajuste
de manejo de seleções avançadas vêm sendo desenvolvidas paralelamente ao Programa
de Melhoramento, no sentido de viabilização desses materiais. Ao longo dos seus 40
anos, uma grande equipe técnica trabalhou para executar projetos de pesquisa para
atender às necessidades e às demandas de diferentes atores da vitivinicultura nacional,
incluindo produtores de uvas de mesa para exportação do semiárido nordestino,
viticultores interessados em produzir sucos em regiões tropicais ou pequenos produtores
familiares da região da Serra Gaúcha, interessados em melhorar a qualidade do vinho
artesanal que produzem.
Programa de Melhoramento Genético ""Uvas do Brasil"". Disponível em: www.embrapa.br. 
Acesso em: 24 nov. 2018 (adaptado).
Para melhorar a produção agrícola nas regiões mencionadas, as técnicas referidas no
texto buscaram adaptar o cultivo aos(às)",A: espécies nativas ameaçadas.; B: cadeias econômicas autônomas.; C: estruturas fundiárias tradicionais.; D: elementos ambientais singulares.; E: mercados consumidores internos.,1.61961,D
49,"TEXTO I
Portadoras de mensagem espiritual do passado, as obras monumentais de cada
povo perduram no presente como o testemunho vivo de suas tradições seculares. A
humanidade, cada vez mais consciente da unidade dos valores humanos, as considera
um bem comum e, perante as gerações futuras, se reconhece solidariamente responsável
por preservá-las, impondo a si mesma o dever de transmiti-las na plenitude de sua
autenticidade.
Carta de Veneza, 31 de maio de 1964. Disponível em: www.iphan.gov.br. Acesso em: 7 out. 2019.
TEXTO II
Os sistemas tradicionais de proteção se mostram cada vez menos eficientes diante
do processo acelerado de urbanização e transformação de nossa sociedade. A legislação
de proteção peca por considerar o monumento, até certo ponto, desvinculado da
realidade socioeconômica. O tombamento, ao decretar a imutabilidade do monumento,
provoca a redução de seu valor venal e o abandono, o que é uma causa, ainda que lenta,
de destruição inevitável.
TELLES, L. S. Manual do patrimônio histórico. Porto Alegre; Caxias do Sul: 
Escola Superior de Teologia São Lourenço de Brindes, 1977 (adaptado).
Escritos em temporalidade histórica aproximada, os textos se distanciam ao
apresentarem pontos de vista diferentes sobre a(s)",A: ampliação do comércio de imagens sacras.; B: substituição de materiais de valor artístico.; C: políticas de conservação de bens culturais.; D: defesa da privatização de sítios arqueológicos.; E: medidas de salvaguarda de peças museológicas.,0.38656,C
50,"TEXTO I
Em 2016, foram gerados 44,7 milhões de toneladas de resíduos eletrônicos, um
aumento de 8% na comparação com 2014. Especialistas previram um crescimento de
mais 17%, para 52,2 milhões de toneladas, até 2021.
Disponível em: https://nacoesunidas.org. Acesso em: 12 out. 2019 (adaptado).
TEXTO II
Há ainda quem exporte deliberadamente lixo eletrônico para o Gana. É mais caro
reciclar devidamente os resíduos no mundo industrializado, onde até existem os recursos
e a tecnologia. Um negócio muito mais lucrativo é vender o lixo eletrônico a negociantes
locais, que o importam alegando tratar-se de material usado. Os negociantes depois
vendem o lixo aos jovens no mercado, ou noutro lado, que o desmantelam e extraem os
fios de cobre. Estes são derretidos em lareiras ao ar livre, poluindo o ar e, muitas vezes,
intoxicando diretamente os próprios jovens.
KALEDZI, I.; SOUZA, G. Disponível em: www.dw.com. Acesso em: 12 out. 2019 (adaptado). 
No contexto das discussões ambientais, as práticas descritas nos textos refletem um
padrão de relações derivado do(a):",A: Exercício pleno da cidadania.; B: Divisão internacional do trabalho.; C: Gestão empresarial do toyotismo.; D: Concepção sustentável da economia.; E: Protecionismo alfandegário dos Estados.,1.67763,B
51,"Preços justos e autorizações de uso da água devem garantir de forma adequada que
a retirada de água, bem como o retorno de efluentes, mantenham operações eficientes e
ambientalmente sustentáveis, de maneira que sejam adaptáveis às peculiaridades e
necessidades da indústria e da irrigação em larga escala, bem como às atividades da
agricultura em pequena escala e de subsistência.
UNESCO. Relatório Mundial das Nações Unidas sobre Desenvolvimento 
dos Recursos Hídricos. Água para um mundo sustentável. Unesco, 2015.
Considerando o debate sobre segurança hídrica, a proposta apresentada no texto está
pautada no(a)",A: distribuição equitativa do abastecimento.; B: monitoramento do fornecimento urbano.; C: racionamento da capacidade fluvial.; D: revitalização gradativa de solos.; E: geração de produtos recicláveis.,0.78405,A
52,"Durante os anos de 1854-55, o governo brasileiro — por meio de sua representação
diplomática em Londres — e os livre-cambistas ingleses — nas colunas do Daily News e
na Câmara dos Comuns — aumentaram a pressão pela revogação da Lei Aberdeen. O
governo britânico, entretanto, ainda receava que, sem um tratado anglo-brasileiro
satisfatório para substituí-la, não haveria nada que impedisse os brasileiros de um dia
voltarem aos seus velhos hábitos.
BETHELL, L. A abolição do comércio brasileiro de escravos. Brasília: Senado Federal, 2002 (adaptado).
As tensões diplomáticas expressas no texto indicam o interesse britânico em",A: estabelecer jurisdição conciliadora.; B: compartilhar negócios marítimos.; C: fomentar políticas higienistas.; D: manter a proibição comercial.; E: promover o negócio familiar.,1.3784,D
53,"Famoso por ser o encantador de viúvas da cidade de Cabaceiras, na Paraíba, Zé de
Sila é um contador de histórias parecido com o personagem Chicó, do Auto da
Compadecida. Ele defende veementemente que a oração da avó sustentava mais a
chuva. “Quando era pequeno e chovia por aqui, ajudava minha avó colocando os pratos
emborcados no terreiro para diminuir o vento. Ela fazia isso e rezava para a chuva durar
mais”, diz Zé de Sila.
GALDINO, V.; BARBOSA, R. C. Artistas por um dia? João Pessoa: Editora Universitária, 2009.
Ao destacar expressões e vivências populares do cotidiano, o texto mobiliza os seguintes
aspectos da diversidade regional:",A: Alianças afetivas conectadas ao ritual matrimonial.; B: Práticas místicas associadas ao patrimônio cultural.; C: Manifestações teatrais atreladas ao imaginário político.; D: Narrativas fílmicas relacionadas às intempéries climáticas.; E: Argumentações literárias interligadas às catástrofes ambientais.,0.66068,B
54,"O uso de novas tecnologias envolve a assimilação de uma cultura empresarial na
qual haja a integração entre as propostas de modernização tecnológica e a
racionalização. Nem sempre o uso de novas tecnologias é apenas um processo técnico
na medida em que pressupõe uma nova orientação no controle do capital, no processo
produtivo e na qualificação da mão de obra. Dos diversos efeitos que derivaram dessa
orientação, a terceirização, a precarização e a flexibilização aparecem com constância
como características do paradigma flexível, em substituição ao modelo taylorista-fordista.
 HERÉDIA, V. Novas tecnologias nos processos de trabalho: efeitos da reestruturação produtiva. 
Scripta Nova, n. 170, ago. 2004 (adaptado).
O uso de novas tecnologias relacionado ao controle empresarial é criticado no texto em
razão da",A: operacionalização da tarefa laboral.; B: capacitação de profissionais liberais.; C: fragilização das relações de trabalho.; D: hierarquização dos cargos executivos.; E: aplicação dos conhecimentos da ciência.,1.07751,C
55,"A categoria de refugiado carrega em si as noções de transitoriedade, provisoriedade
e temporalidade. Os refugiados situam-se entre o país de origem e o país de destino. Ao
transitarem entre os dois universos, ocupam posição marginal, tanto em termos
identitários — assentada na falta de pertencimento pleno enquanto membros da
comunidade receptora e nos vínculos introjetados por códigos partilhados com a
comunidade de origem — quanto em termos jurídicos, ao deixarem de exercitar, ao
menos em caráter temporário, o status de cidadãos no país de origem e portar o status de
refugiados no país receptor.
MOREIRA, J. B. Refugiados no Brasil: reflexões acerca do processo de integração local. 
REMHU, n. 43, jul.-dez. 2014 (adaptado).
A condição de transitoriedade dos refugiados no Brasil, conforme abordada no texto, é
provocada pela associação entre",A: ascensão social e burocracia estatal.; B: miscigenação étnica e limites fronteiriços.; C: desqualificação profissional e ação policial.; D: instabilidade financeira e crises econômicas.; E: desenraizamento cultural e insegurança legal.,1.1317,E
