numero_questao;gabarito;NU_PARAM_A;nu_param_B;NU_PARAM_C;ANO;enunciado;alternativas
46;B;1.33904;-0.24666;0.20167;2020;         A expansão das cidades e a formação das aglomerações urbanas no Brasil foram marcadas pela produção industrial e pela consolidação das metrópoles como locais de seu desenvolvimento. Na segunda metade do século XX, as metrópoles brasileiras estenderam-se por áreas de ocupação contínua, configurando densas regiões urbanizadas.O  resultado do processo geográfico descrito foi o(a);"A:  valorização da escala local; B:  crescimento das áreas periféricas; C:  densificação do transporte ferroviário; D:  predomínio do planejamento estadual; E:  inibição de consórcios intermunicipais"
47;D;1.04807;0.55132;0.21946;2020;         Descrição da imagem: Representação que trata da zona de pastoreio e cultura do algodão e cereais do agreste (1963). A figura ilustra os meses do ano em três eixos referentes às culturas do feijão, do milho e do algodão, indicando para cada cultura as convenções de pastoreio, plantio e limpa, crescimento, colheita de feijão, colheita de milho verde, colheita de milho seco e colheita de algodão, apresentando os seguintes dados:O pastoreio ocorre em janeiro e fevereiro na cultura do feijão, em janeiro e fevereiro na cultura do milho e em janeiro e fevereiro na cultura do algodão.O plantio e a limpa ocorrem em março e abril na cultura do feijão, em março e abril na cultura do milho e em maio na cultura do algodão.O crescimento ocorre em maio na cultura do feijão, em maio na cultura do milho e de junho a outubro na cultura do algodão.A colheita do feijão ocorre em junho e julho, a colheita do milho verde ocorre em junho e julho, a colheita do milho seco ocorre de agosto a outubro e a colheita do algodão ocorre em novembro e dezembro.A dinâmica produtiva apresentada na imagem tem como estratégia central a ;"A:  separação pelo tipo de solo; B:  exportação da colheita sazonal; C:  priorização da tecnologia moderna; D:  adequação pelo tempo da natureza; E:  intensificação da atividade pecuária"
48;D;1.73079;1.00147;0.27;2020;         A demanda mundial para a produção de alimentos aumenta progressivamente a taxas muito altas. Atualmente, na maioria dos países, continentes e regiões, a água consumida na agricultura é de cerca de 70 por cento da disponibilidade total.Para que haja a redução da pressão sobre o recurso natural mencionado, a expansão da agricultura demanda melhorias no(a);"A:  fertilização química do solo; B:  escoamento hídrico do terreno; C:  manutenção de poços artesianos; D:  eficiência das técnicas de irrigação.; E:  velocidade das máquinas colheitadeiras"
49;B;2.04864;2.07959;0.11925;2020;          Hegemonias e emancipações no século XXI, Ana Esther CeceñaNo caso do Departamento de Defesa dos Estados Unidos, a ênfase está posta no traçado de uma estratégia geral de desarticulação, não só dos inimigos reais como dos potenciais, inserida na concepção preventiva que supõe que a mínima dissidência é um sinal de perigo e de guerra futura. Deve-se ter capacidade para responder a uma guerra convencional tanto quanto para enfrentar um inimigo difuso, atentando simultaneamente para todas as áreas geográficas do planeta. Trata-se, sem dúvida, da estratégia com pretensões mais abrangentes que se desenvolveu até agora.Tomando o texto como parâmetro, qual tendência contemporânea impulsiona a formulação de estratégias mais abrangentes por parte do Estado americano?;"A:  Erradicação dos conflitos em territórios; B:  Propagação de organizações em redes; C:  Eliminação das diferenças regionais; D:  Ampliação de modelo democrático; E:  Projeção da diplomacia mundial"
50;E;1.34049;1.03565;0.19675;2020;"         O planejamento deixou de controlar o crescimento urbano e passou a encorajá-lo por todos os meios possíveis e imagináveis. Cidades, a nova mensagem soou em alto e bom som, eram máquinas de produzir riquezas; o primeiro e principal objetivo do planejamento devia ser o de azeitar a máquina.O modelo de planejamento urbano problematizado no texto é marcado pelo(a)";"A:  primazia da gestão popular; B:  uso de práticas sustentáveis; C:  construção do bem-estar social; D:  soberania do poder governamental; E:  ampliação da participação empresarial"
51;C;1.30366;1.05118;0.23195;2020;         Escudos antigos ou maciços cristalinos são blocos imensos de rochas antigas. Estes escudos são constituídos por rochas cristalinas abre parêntese magmático-plutônicas fecha parêntese, formadas em eras pré-cambrianas, ou por rochas metamórficas abre parêntese material sedimentar fecha parêntese do Paleozoico. São resistentes, estáveis, porém bastante desgastadas. Correspondem a 36 por cento  da área territorial e dividem-se em duas grandes porções: o Escudo das Guianas abre parêntese norte da Planície Amazônica fecha parêntese e o Escudo Brasileiro abre parêntese porção centro-oriental brasileira fecha parêntese.As estruturas geológicas indicadas no texto são importantes economicamente para o Brasil por concentrarem;"A:  fontes de águas termais; B:  afloramentos de sal-gema; C:  jazidas de minerais metálicos; D:  depósitos de calcário agrícola; E:  reservas de combustível fóssil"
52;E;1.94651;1.07266;0.32936;2020;         Em A morte de Ivan Ilitch, Tolstoi descreve com detalhes repulsivos o terror de encarar a morte iminente. Ilitch adoece depois de um pequeno acidente e logo compreende que se encaminha para o fim de modo impossível de parar. “Nas profundezas de seu coração, ele sabia estar morrendo, mas em vez de se acostumar com a ideia, simplesmente não o fazia e não conseguia compreendê-la”.O texto descreve a experiência do personagem de Tolstoi diante de um aspecto incontornável de nossas vidas. Esse aspecto foi um tema central na tradição filosófica;"A:  marxista, no contexto do materialismo histórico; B:  logicista, no propósito de entendimento dos fatos; C:  utilitarista, no sentido da racionalidade das ações; D:  pós-modernista, na discussão da fluidez das relações; E:  existencialista, na questão do reconhecimento de si"
53;C;2.83963;1.08367;0.17694;2020;         Afirmar que a cartografia da época moderna integrou o processo de invenção da América por parte dos europeus significa que os conhecimentos dos ameríndios sobre o território foram ignorados pela cartografia europeia ou que eles foram privados de sua representação territorial e da autoridade que seus conhecimentos tinham sobre o espaço.Na análise contida no texto, a representação cartográfica da América foi marcada por;"A:  asserção da cultura dos nativos; B:  avanço dos estudos do ambiente; C:  afirmação das formas de dominação; D:  exatidão da demarcação das regiões; E:  aprimoramento do conceito de fronteira"
54;B;1.6559;1.87439;0.19625;2020;         A democracia na América, Alexis TocquevilleA principal característica da situação social dos anglo-americanos é seu caráter eminentemente democrático. Afirmei anteriormente que reinava uma igualdade muito grande entre os emigrantes que foram se estabelecer na Nova Inglaterra. Para isso contribuiu a influência das leis de sucessão. Estabelecidas de uma maneira, as leis de sucessão reúnem, concentram e agrupam em um só a propriedade e o poder. Estabelecidas por outros princípios, produzem o oposto: dividem, partilham e disseminam os bens e o poder.O texto tematiza o papel desempenhado por uma norma na criação de um ambiente propício ao(à);"A:  emprego do trabalho escravo; B:  consolidação dos valores burgueses; C:  banimento das dissidências religiosas; D:  contenção da identificação nacionalista; E:  hierarquização dos agentes econômicos"
55;A;2.11017;1.58198;0.23073;2020;"         Política, AristótelesVemos que toda cidade é uma espécie de comunidade, e toda comunidade se forma com vistas a algum bem, pois todas as ações de todos os homens são praticadas com vistas ao que lhe parece um bem; se todas as comunidades visam algum bem, é evidente que a mais importante de todas elas e que inclui todas as outras tem mais que todas este objetivo e visa ao mais importante de todos os bens. No fragmento, Aristóteles promove uma reflexão que associa dois elementos essenciais à discussão sobre a vida em comunidade, a saber:";"A:  Ética e política, pois conduzem à eudaimonia ; B:  Retórica e linguagem, pois cuidam dos discursos na ágora; C:  Metafísica e ontologia, pois tratam da filosofia primeira; D:  Democracia e sociedade, pois se referem a relações sociais; E:  Geração e corrupção, pois abarcam o campo da physis"
56;C;3.98011;0.78922;0.18995;2020;         O toyotismo, a partir dos anos 1970, teve grande impacto no mundo ocidental, quando se mostrou para os países avançados como uma opção possível para a superação de uma crise de acumulação.A característica organizacional do modelo em questão, requerida no contexto de crise, foi o(a) ;"A:  expansão dos grandes estoques; B:  incremento da fabricação em massa; C:  adequação da produção à demanda.; D:  aumento da mecanização do trabalho; E:  centralização das etapas de planejamento"
57;D;1.68186;0.1343;0.17621;2020;         Migrações e trabalho sob contrato no século XIX, Marco Aurelio dos Santos   O fenômeno histórico conhecido como “tráfico de coolies ” esteve associado diretamente ao período que vai do final da década de 1840 até o ano de 1874, quando milhares de chineses foram encaminhados principalmente para Cuba e o Peru e muitos abusos no recrutamento de mão de obra foram identificados. O tráfico de coolies ou, em outros termos, o transporte por meios coativos de mão de obra de um lugar para outro, foi comparado ao tráfico africano de escravos por muitos periodistas e analistas do século XIX.A comparação mencionada no texto foi possível em razão da seguinte característica:;"A:  Oferta de contrato formal; B:  Origem étnica dos grupos de trabalhadores; C:  Conhecimento das tarefas desenvolvidas; D:  Controle opressivo das vidas dos indivíduos; E:  Investimento requerido dos empregadores"
58;B;1.63948;3.22867;0.14221;2020;         Os aspectos físicos apresentados originam-se da atuação da força natural de;"A:  colisão de placas tectônicas.; B:  rifteamento da crosta terrestre.; C:  subducção da plataforma oceânica.; D:  formação de cadeias montanhosas; E:  metamorfismo de bordas continentais"
