numero_questao,enunciado,alternativas
46,"A pegada ecológica gigante que estamos a deixar no planeta está a transformá-lo de tal forma que os especialistas consideram que já entramos numa nova época geológica, o Antropoceno. E muitos  defendem que, se não travarmos a crise ambiental, mais rapidamente transformaremos a Terra em Vênus do que iremos a Marte. A expressão “Antropoceno” é atribuída ao químico e prêmio Nobel Paul Crutzen, que a propôs durante uma conferência em 2000, ao mesmo tempo que anunciou o fim do Holoceno — a época geológica em que os seres humanos se encontram há cerca de  12 mil anos, segundo a União Internacional das Ciências Geológicas (UICG), a entidade que define as unidades de tempo geológicas.SILVA, R. D. Antropoceno: e se formos os últimos seres vivos  a alterar a Terra? Disponível em: www.publico.pt.  Acesso em: 5 dez. 2017 (adaptado).",A: concepção apresentada considera a existência de uma nova época geológica concebida a partir da capacidade de influência humana nos processosA eruptivos; B: exógenos; C: tectônicos; D: magmáticos; E: metamórficos
47,Disponível em: www.ibge.gov.br. Acesso em: 11 dez. 2018 (adaptado).A geração de imagens por meio da tecnologia ilustrada depende da variação do(a):,A: Albedo dos corpos físicos; B: Profundidade do lençol freático; C: Campo de magnetismo terrestre; D: Qualidade dos recursos minerais; E: Movimento de translaç ão planetária
48,"Dizem que Humboldt, naturalista do século XIX, maravilhado pela geografia, flora e fauna da região sul-americana, via seus habitantes como se fossem mendigos sentados sobre um saco de ouro,  referindo-se a suas incomensuráveis riquezas naturais não exploradas. De alguma maneira, o cientista ratificou nosso papel de exportadores de natureza no que seria o mundo depois da colonização ibérica: enxergou-nos como territórios condenados a aproveitar os recursos naturais existentes.ACOSTA, A. Bem viver: uma oportunidade para imaginar outros mundos. São Paulo: Elefante, 2016 (adaptado).",A: relação entre ser humano e natureza ressaltada no texto refletia a permanência da seguinte corrente filosófica:A Relativismo cognitivo; B: Materialismo dialético; C: Racionalismo cartesiano; D: Pluralismo epistemológico; E: Existencialismo fenomenológico
49,"O Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama) está investigando o extermínio de abelhas por intoxicação por agrotóxicos em colmeias de São Paulo e Minas Gerais. Os estudos com inseticidas do tipo neonicotinoides devem estar concluídos no primeiro semestre de 2015. Trata-se de um problema de escala mundial, presente, inclusive, em países do chamado primeiro mundo, e que traz, como consequência, grave ameaça aos seres vivos  do planeta, inclusive ao homem.IBAMA. Polinizadores em risco de extinção são ameaça  à vida do ser humano . Disponível em: www.mma.gov.br.  Acesso em: 10 mar. 2014.Qual solução para o problema apresentado garante a produtividade da agricultura moderna?",A: Preservação da área de mata ciliar; B: Adoção da prática de adubação química; C: Utilização da técnica de controle biológico; D: Ampliação do modelo de monocultura tropical; E: Intensificação da drenagem do solo de várzea.SatéliteSolEnergia solarrefletidaEnergia solar incidenteFloresta Rio Pastagens RodoviaAtmosfer
50," A hospitalidade pura consiste em acolher aquele que chega antes de lhe impor condições, antes de saber e indagar o que quer que seja, ainda que seja um nome ou um “documento” de identidade. Mas ela também supõe que se dirija a ele, de maneira singular, chamando-o portanto e reconhecendo-lhe um nome próprio: “Como você se chama?” A hospitalidade consiste em fazer tudo para se dirigir ao outro, em lhe conceder, até mesmo perguntar seu nome, evitando que essa pergunta se torne uma “condição”, um inquérito policial,  um fichamento ou um simples controle das fronteiras.  Uma arte e uma poética, mas também toda uma política dependem disso, toda uma ética se decide aí.DERRIDA, J. Papel-máquina. São Paulo:  Estação Liberdade, 2004 (adaptado).Associado ao contexto migratório contemporâneo,  o conceito de hospitalidade proposto pelo autor impõe a necessidade de",A: anulação da diferença; B: cristalização da biografia; C: incorporação da alteridade; D: supressão da comunicação; E: verificação da proveniência
51," Em sentido geral e fundamental, Direito é a técnica da coexistência humana, isto é, a técnica voltada a  tornar possível a coexistência dos homens. Como técnica, o Direito se concretiza em um conjunto de regras (que, nesse caso, são leis ou normas); e tais regras têm por objeto o comportamento intersubjetivo, isto é,  o comportamento recíproco dos homens entre si.ABBAGNANO, N. Dicionário de Filosofia .  São Paulo: Martins Fontes, 2007.O sentido geral e fundamental do Direito, conforme foi destacado, refere-se à",A: aplicação de códigos legais; B: regulação do convívio social; C: legitimação de decisões políticas; D: mediação de conflitos econômicos; E: representação da autoridade constituída
52," O processamento da mandioca era uma atividade já realizada pelos nativos que viviam no Brasil antes da chegada de portugueses e africanos. Entretanto, ao longo do processo de colonização portuguesa, a produção de farinha foi aperfeiçoada e ampliada, tornando-se  lugar-comum em todo o território da colônia portuguesa na América. Com a consolidação do comércio atlântico em suas diferentes conexões, a farinha atravessou os mares e chegou aos mercados africanos.BEZERRA, N. R. Escravidão, farinha e tráfico atlântico:  um novo olhar sobre as relações entre o Rio de Janeiro e  Benguela (1790-1830). Disponível em: www.bn.br.  Acesso em: 20 ago. 2014 (adaptado).Considerando a formação do espaço atlântico,  esse produto exemplifica historicamente a",A: difusão de hábitos alimentares; B: disseminação de rituais festivos; C: ampliação dos saberes autóctones; D: apropriação de costumes guerreiros; E: diversificação de oferendas religiosas
53," Brasil, Alemanha, Japão e Índia pedem reforma  do Conselho de SegurançaOs representantes do G4 (Brasil, Alemanha, Índia e Japão) reiteraram, em setembro de 2018, a defesa pela ampliação do Conselho de Segurança da Organização das Nações Unidas (ONU) durante reunião em  Nova York (Estados Unidos). Em declaração conjunta,  de dez itens, os chanceleres destacaram que o órgão, no formato em que está, com apenas cinco membros permanentes e dez rotativos, não reflete o século 21. “A reforma do Conselho de Segurança é essencial para enfrentar os desafios complexos de hoje. Como aspirantes a novos membros permanentes de um conselho reformado, os ministros reiteraram seu compromisso de trabalhar para fortalecer o  funcionamento da ONU e da ordem multilateral global, bem como seu apoio às respectivas candidaturas”, afirma a declaração conjunta.Disponível em: http://agenciabrasil.ebc.com.br.  Acesso em: 7 dez. 2018 (adaptado).Os países mencionados no texto justificam sua pretensão com base na seguinte característica comum:",A: Extensividade de área territorial; B: Protagonismo em escala regional; C: Investimento em tecnologia militar; D: Desenvolvimento de energia nuclear; E: Disponibilidade de recursos minerais
54,"Dificilmente passa-se uma noite sem que algum sitiante tenha seu celeiro ou sua pilha de cereais destruídos pelo fogo. Vários trabalhadores não diretamente envolvidos nos ataques pareciam  apoiá-los, como se vê neste depoimento ao The Times: “deixa queimar, pena que não foi a casa”; “podemos nos aquecer agora”; “nós só queríamos algumas batatas,  há um fogo ótimo para cozinhá-las”.HOBSBAWM, E.; RUDÉ, G. Capitão Swing . Rio de Janeiro: Francisco Alves, 1982 (adaptado).","A: revolta descrita no texto, ocorrida na Inglaterra no século XIX, foi uma reação ao seguinte processo socioespacial:A Restrição da propriedade privada; B: Expropriação das terras comunais; C: Imposição da estatização fundiária; D: Redução da produção monocultora; E: Proibição das atividades artesanais"
55,"Entre os combatentes estava a mais famosa heroína da Independência. Nascida em Feira de Santana, filha de lavradores pobres, Maria Quitéria de Jesus tinha trinta anos quando a Bahia começou a pegar em armas contra os portugueses. Apesar da proibição de mulheres nos batalhões de voluntários,  decidiu se alistar às escondidas. Cortou os cabelos, amarrou os seios, vestiu-se de homem e incorporou-se às fileiras brasileiras com o nome de Soldado Medeiros.GOMES, L.  1822. Rio de Janeiro: Nova Fronteira, 2010.No processo de Independência do Brasil, o caso mencionado é emblemático porque evidencia a",A: rigidez hierárquica da estrutura social; B: inserção feminina nos ofícios militares; C: adesão pública dos imigrantes portugueses; D: flexibilidade administrativa do governo imperial; E: receptividade metropolitana aos ideais emancipatórios
